"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","@regression - Verify Live link navigation","firefox","Thu Feb 05 18:14:19 UTC 2026","failed","Thu Feb 05 18:14:19 UTC 2026","Header Navigation Tests","","",""
"","7937","@regression - Verify Casino link navigation","chromium","Thu Feb 05 18:13:11 UTC 2026","passed","Thu Feb 05 18:13:19 UTC 2026","Header Navigation Tests","","",""
"","9697","@regression - Verify Register button is functional","chromium","Thu Feb 05 18:13:28 UTC 2026","passed","Thu Feb 05 18:13:38 UTC 2026","Header Navigation Tests","","",""
"","16371","@regression - Verify Supersocial link navigation","chromium","Thu Feb 05 18:12:50 UTC 2026","failed","Thu Feb 05 18:13:06 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify User Profile icon is functional","firefox","Thu Feb 05 18:14:29 UTC 2026","failed","Thu Feb 05 18:14:29 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Sport link navigation","webkit","Thu Feb 05 18:15:41 UTC 2026","failed","Thu Feb 05 18:15:41 UTC 2026","Header Navigation Tests","","",""
"","37836","@smoke @regression - Verify header contains all required links","chromium","Thu Feb 05 18:13:21 UTC 2026","failed","Thu Feb 05 18:13:59 UTC 2026","Header Navigation Tests","","",""
"","9796","@regression - Verify User Profile icon is functional","chromium","Thu Feb 05 18:13:21 UTC 2026","passed","Thu Feb 05 18:13:30 UTC 2026","Header Navigation Tests","","",""
"","4","@smoke @regression - Verify header contains all required links","firefox","Thu Feb 05 18:14:13 UTC 2026","failed","Thu Feb 05 18:14:13 UTC 2026","Header Navigation Tests","","",""
"","5","@smoke @regression - Verify left sidebar menu exists","firefox","Thu Feb 05 18:14:35 UTC 2026","failed","Thu Feb 05 18:14:35 UTC 2026","Live Page Tests","","",""
"","16846","@regression - Verify Login button is functional","chromium","Thu Feb 05 18:14:15 UTC 2026","failed","Thu Feb 05 18:14:32 UTC 2026","Header Navigation Tests","","",""
"","20964","@smoke @regression - Verify left sidebar menu exists","webkit","Thu Feb 05 18:16:23 UTC 2026","passed","Thu Feb 05 18:16:44 UTC 2026","Sport Page Tests","","",""
"","4","@regression - Verify Register button is functional","firefox","Thu Feb 05 18:14:30 UTC 2026","failed","Thu Feb 05 18:14:30 UTC 2026","Header Navigation Tests","","",""
"","9221","@regression - Verify Search icon is functional","chromium","Thu Feb 05 18:13:19 UTC 2026","passed","Thu Feb 05 18:13:28 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Casino link navigation","firefox","Thu Feb 05 18:14:25 UTC 2026","failed","Thu Feb 05 18:14:25 UTC 2026","Header Navigation Tests","","",""
"","4899","@regression - Verify ""Toate"" link is present","chromium","Thu Feb 05 18:13:43 UTC 2026","passed","Thu Feb 05 18:13:48 UTC 2026","Live Page Tests","","",""
"","8696","@regression - Verify ""Fotbal"" link is functional","chromium","Thu Feb 05 18:13:56 UTC 2026","passed","Thu Feb 05 18:14:05 UTC 2026","Live Page Tests","","",""
"","5","@regression - Verify Supersocial link navigation","firefox","Thu Feb 05 18:14:20 UTC 2026","failed","Thu Feb 05 18:14:20 UTC 2026","Header Navigation Tests","","",""
"","8","@regression - Verify ""Toate"" link is present","firefox","Thu Feb 05 18:14:36 UTC 2026","failed","Thu Feb 05 18:14:36 UTC 2026","Live Page Tests","","",""
"","12369","@regression - Verify ""Fotbal"" link is present","firefox","Thu Feb 05 18:14:40 UTC 2026","passed","Thu Feb 05 18:14:53 UTC 2026","Live Page Tests","","",""
"","19401","@regression - Verify Login button is functional","webkit","Thu Feb 05 18:16:49 UTC 2026","failed","Thu Feb 05 18:17:09 UTC 2026","Header Navigation Tests","","",""
"","24185","@regression - Verify Biletele Mele link navigation","firefox","Thu Feb 05 18:14:46 UTC 2026","failed","Thu Feb 05 18:15:10 UTC 2026","Header Navigation Tests","","",""
"","17305","@regression - Verify ""Fotbal"" link is present","webkit","Thu Feb 05 18:16:06 UTC 2026","passed","Thu Feb 05 18:16:23 UTC 2026","Live Page Tests","","",""
"","11911","@smoke @regression - Verify left sidebar menu exists","firefox","Thu Feb 05 18:14:53 UTC 2026","passed","Thu Feb 05 18:15:05 UTC 2026","Sport Page Tests","","",""
"","8149","@regression - Verify Casino Live link navigation","chromium","Thu Feb 05 18:13:12 UTC 2026","passed","Thu Feb 05 18:13:20 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Casino link navigation","webkit","Thu Feb 05 18:15:21 UTC 2026","failed","Thu Feb 05 18:15:21 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Casino Live link navigation","firefox","Thu Feb 05 18:14:25 UTC 2026","failed","Thu Feb 05 18:14:25 UTC 2026","Header Navigation Tests","","",""
"","18132","@regression - Verify Sport link navigation","chromium","Thu Feb 05 18:12:52 UTC 2026","failed","Thu Feb 05 18:13:10 UTC 2026","Header Navigation Tests","","",""
"","17116","@regression - Verify Live link navigation","chromium","Thu Feb 05 18:12:51 UTC 2026","failed","Thu Feb 05 18:13:08 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Register button is functional","webkit","Thu Feb 05 18:15:31 UTC 2026","failed","Thu Feb 05 18:15:31 UTC 2026","Header Navigation Tests","","",""
"","8232","@regression - Verify ""Fotbal"" link is present","chromium","Thu Feb 05 18:13:48 UTC 2026","passed","Thu Feb 05 18:13:56 UTC 2026","Live Page Tests","","",""
"","5","@regression - Verify Live link navigation","webkit","Thu Feb 05 18:15:14 UTC 2026","failed","Thu Feb 05 18:15:14 UTC 2026","Header Navigation Tests","","",""
"","5430","@regression - Click first 5 sub-pages and validate","chromium","Thu Feb 05 18:14:05 UTC 2026","passed","Thu Feb 05 18:14:10 UTC 2026","Sport Page Tests","","",""
"","20391","@regression - Click first 5 sub-pages and validate","webkit","Thu Feb 05 18:16:28 UTC 2026","passed","Thu Feb 05 18:16:49 UTC 2026","Sport Page Tests","","",""
"","19932","@regression - Verify Biletele Mele link navigation","chromium","Thu Feb 05 18:13:53 UTC 2026","failed","Thu Feb 05 18:14:13 UTC 2026","Header Navigation Tests","","",""
"","6","@regression - Verify Casino Live link navigation","webkit","Thu Feb 05 18:15:23 UTC 2026","failed","Thu Feb 05 18:15:23 UTC 2026","Header Navigation Tests","","",""
"","11631","@regression - Verify ""Fotbal"" link is functional","firefox","Thu Feb 05 18:14:41 UTC 2026","passed","Thu Feb 05 18:14:53 UTC 2026","Live Page Tests","","",""
"","19765","@regression - Verify ""Toate"" link is present","webkit","Thu Feb 05 18:15:49 UTC 2026","passed","Thu Feb 05 18:16:09 UTC 2026","Live Page Tests","","",""
"","5138","@smoke @regression - Verify left sidebar menu exists","chromium","Thu Feb 05 18:13:38 UTC 2026","passed","Thu Feb 05 18:13:43 UTC 2026","Live Page Tests","","",""
"","5","@regression - Verify Search icon is functional","webkit","Thu Feb 05 18:15:27 UTC 2026","failed","Thu Feb 05 18:15:27 UTC 2026","Header Navigation Tests","","",""
"","17292","@regression - Verify Login button is functional","firefox","Thu Feb 05 18:15:22 UTC 2026","failed","Thu Feb 05 18:15:39 UTC 2026","Header Navigation Tests","","",""
"","12094","@regression - Click first 5 sub-pages and validate","firefox","Thu Feb 05 18:14:54 UTC 2026","passed","Thu Feb 05 18:15:06 UTC 2026","Sport Page Tests","","",""
"","4","@regression - Verify Supersocial link navigation","webkit","Thu Feb 05 18:15:16 UTC 2026","failed","Thu Feb 05 18:15:16 UTC 2026","Header Navigation Tests","","",""
"","3","@regression - Verify User Profile icon is functional","webkit","Thu Feb 05 18:15:30 UTC 2026","failed","Thu Feb 05 18:15:30 UTC 2026","Header Navigation Tests","","",""
"","3","@smoke @regression - Verify header contains all required links","webkit","Thu Feb 05 18:15:10 UTC 2026","failed","Thu Feb 05 18:15:10 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify Search icon is functional","firefox","Thu Feb 05 18:14:27 UTC 2026","failed","Thu Feb 05 18:14:27 UTC 2026","Header Navigation Tests","","",""
"","20848","@regression - Verify ""Fotbal"" link is functional","webkit","Thu Feb 05 18:17:15 UTC 2026","failed","Thu Feb 05 18:17:36 UTC 2026","Live Page Tests","","",""
"","5","@regression - Verify Sport link navigation","firefox","Thu Feb 05 18:14:16 UTC 2026","failed","Thu Feb 05 18:14:16 UTC 2026","Header Navigation Tests","","",""
"","6069","@smoke @regression - Verify left sidebar menu exists","chromium","Thu Feb 05 18:14:02 UTC 2026","passed","Thu Feb 05 18:14:08 UTC 2026","Sport Page Tests","","",""
"","18849","@smoke @regression - Verify left sidebar menu exists","webkit","Thu Feb 05 18:15:46 UTC 2026","passed","Thu Feb 05 18:16:05 UTC 2026","Live Page Tests","","",""
"","32798","@regression - Verify Biletele Mele link navigation","webkit","Thu Feb 05 18:15:50 UTC 2026","failed","Thu Feb 05 18:16:23 UTC 2026","Header Navigation Tests","","",""
