"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","@regression - Verify User Profile icon is functional","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","10","@regression - Verify Supersocial link navigation","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","14","@regression - Verify Sport link navigation","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5","@smoke @regression - Verify left sidebar menu exists","chromium","2026-02-05","failed","2026-02-05","Sport Page Tests","","",""
"","6","@regression - Verify Casino link navigation","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5","@regression - Verify Casino Live link navigation","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","13661","@smoke @regression - Verify left sidebar menu exists","firefox","2026-02-05","passed","2026-02-05","Sport Page Tests","","",""
"","5","@regression - Click first 5 sub-pages and validate","webkit","2026-02-05","failed","2026-02-05","Sport Page Tests","","",""
"","13354","@regression - Verify Register button is functional","firefox","2026-02-05","passed","2026-02-05","Header Navigation Tests","","",""
"","6","@regression - Verify Register button is functional","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5","@regression - Verify ""Toate"" link is present","chromium","2026-02-05","failed","2026-02-05","Live Page Tests","","",""
"","5","@regression - Verify Live link navigation","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","19568","@regression - Verify Sport link navigation","firefox","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","11","@regression - Verify Casino Live link navigation","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","4","@smoke @regression - Verify left sidebar menu exists","chromium","2026-02-05","failed","2026-02-05","Live Page Tests","","",""
"","5","@regression - Verify Login button is functional","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5","@regression - Verify Supersocial link navigation","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","14382","@regression - Verify Casino Live link navigation","firefox","2026-02-05","passed","2026-02-05","Header Navigation Tests","","",""
"","5","@regression - Verify ""Fotbal"" link is functional","chromium","2026-02-05","failed","2026-02-05","Live Page Tests","","",""
"","46","@regression - Click first 5 sub-pages and validate","chromium","2026-02-05","failed","2026-02-05","Sport Page Tests","","",""
"","4","@regression - Verify Search icon is functional","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","11008","@regression - Verify User Profile icon is functional","firefox","2026-02-05","passed","2026-02-05","Header Navigation Tests","","",""
"","13662","@regression - Verify Search icon is functional","firefox","2026-02-05","passed","2026-02-05","Header Navigation Tests","","",""
"","9956","@regression - Verify ""Fotbal"" link is functional","firefox","2026-02-05","passed","2026-02-05","Live Page Tests","","",""
"","17967","@regression - Verify Live link navigation","firefox","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5692","@smoke @regression - Verify left sidebar menu exists","firefox","2026-02-05","passed","2026-02-05","Live Page Tests","","",""
"","10616","@regression - Verify Casino link navigation","firefox","2026-02-05","passed","2026-02-05","Header Navigation Tests","","",""
"","17301","@regression - Verify Supersocial link navigation","firefox","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5","@regression - Verify Sport link navigation","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","4","@regression - Verify Biletele Mele link navigation","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","18134","@regression - Verify Login button is functional","firefox","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","8","@regression - Verify ""Fotbal"" link is present","webkit","2026-02-05","failed","2026-02-05","Live Page Tests","","",""
"","15","@regression - Verify Register button is functional","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5","@regression - Verify ""Toate"" link is present","webkit","2026-02-05","failed","2026-02-05","Live Page Tests","","",""
"","8","@regression - Verify ""Fotbal"" link is present","chromium","2026-02-05","failed","2026-02-05","Live Page Tests","","",""
"","5","@smoke @regression - Verify left sidebar menu exists","webkit","2026-02-05","failed","2026-02-05","Live Page Tests","","",""
"","8","@regression - Verify Search icon is functional","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5","@smoke @regression - Verify left sidebar menu exists","webkit","2026-02-05","failed","2026-02-05","Sport Page Tests","","",""
"","7","@regression - Verify User Profile icon is functional","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","11556","@regression - Verify ""Fotbal"" link is present","firefox","2026-02-05","passed","2026-02-05","Live Page Tests","","",""
"","4","@regression - Verify ""Fotbal"" link is functional","webkit","2026-02-05","failed","2026-02-05","Live Page Tests","","",""
"","6","@regression - Verify Casino link navigation","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","12223","@regression - Click first 5 sub-pages and validate","firefox","2026-02-05","passed","2026-02-05","Sport Page Tests","","",""
"","5647","@regression - Verify ""Toate"" link is present","firefox","2026-02-05","passed","2026-02-05","Live Page Tests","","",""
"","8","@smoke @regression - Verify header contains all required links","webkit","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5","@regression - Verify Biletele Mele link navigation","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5","@smoke @regression - Verify header contains all required links","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","5","@regression - Verify Login button is functional","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","37994","@smoke @regression - Verify header contains all required links","firefox","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","24251","@regression - Verify Biletele Mele link navigation","firefox","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
"","6","@regression - Verify Live link navigation","chromium","2026-02-05","failed","2026-02-05","Header Navigation Tests","","",""
